date,Aruba,Afghanistan,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People’s Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1992,2,2,49,29,34,2,4,12,12,92,23,17,46,10,11,,50,25,11,30,0,51,43,39,69,19,57,65,15,78,54,24,36,38,32,29,4,21,17,32,51,70,66,58,26,16,49,86,20,,53,18,34,32,0,66,13,24,1,29,24,26,39,37,52,0,35,16,29,52,,37,28,72,52,27,0,91,85,12,40,38,0,29,44,78,65,26,50,0,43,46,85,28,,70,35,33,4,20,34,33,32,30,63,32,6,22,,7,6,2,0,6,26,32,1,68,1,8,4,72,15,42,66,0,52,75,13,51,0,36,51,34,27,41,36,27,34,1,39,31,,51,,18,11,,10,23,3,2,36,70,35,36,5,1,59,2,47,8,72,55,0,20,41,68,36,10,46,1,18,36,10,33,32,0,37,32,0,28,3,67,61,22,84,74,29,32,36,66,37,52,2,62,31,18,0,28,49,13,17,0,,48,24,83,43,18,0,13,28,32,,32,38,58,99,40,59,68,28,,88,2,36,5,28,38,12,29,3,9,51,63,2,13,17,32,47,4,13,33,62,23,16,37,5,33,7,65,58,25,66,30,36,32,49,,1,8,71,56
1993,2,2,49,29,34,2,4,12,12,91,23,17,46,10,10,,49,24,11,30,0,51,43,39,69,19,57,64,15,77,54,24,36,38,32,29,4,21,17,32,50,70,66,57,26,16,49,86,20,,53,18,34,32,0,66,13,25,1,29,24,26,39,37,52,0,35,16,30,52,15,37,28,72,53,27,0,91,85,12,40,38,0,29,44,78,65,26,50,0,43,46,85,29,,68,34,33,4,20,34,33,31,30,62,31,6,22,,7,6,2,0,6,27,32,1,68,1,8,4,71,15,42,66,0,52,75,13,50,0,35,50,32,26,41,36,27,33,1,39,31,,51,,18,11,,10,23,3,2,36,70,34,36,5,1,58,2,47,8,72,54,0,20,40,67,36,10,46,1,18,36,10,33,32,0,37,32,0,27,3,67,60,22,84,74,29,32,38,65,37,52,2,62,31,19,0,28,49,13,17,0,,48,24,82,42,18,0,13,28,31,,31,38,58,99,40,60,68,28,,88,2,36,5,28,38,11,29,3,9,51,63,2,13,17,31,47,5,13,33,62,22,16,37,6,33,7,65,58,25,65,31,36,32,50,,1,8,70,55
1994,2,2,49,29,34,2,4,12,12,91,23,17,46,10,10,,49,24,11,30,0,51,43,39,68,19,57,64,15,77,64,23,36,38,32,30,4,21,18,32,50,70,66,57,25,17,49,86,21,,53,18,34,32,0,65,13,26,1,29,24,26,39,37,52,0,35,16,30,52,15,37,28,73,53,27,0,91,85,12,40,38,0,29,44,77,65,27,50,0,42,46,85,29,,66,34,33,4,21,34,33,31,29,61,31,6,22,,8,6,2,0,6,27,32,1,68,1,7,4,70,15,42,66,0,52,75,13,50,0,35,50,32,26,42,36,27,33,1,39,32,,51,,18,11,,10,23,3,2,35,70,34,37,5,1,57,2,47,8,72,54,0,20,40,67,36,10,46,1,17,35,10,33,31,0,37,32,0,27,3,67,60,23,84,74,29,31,40,64,37,51,2,62,31,20,0,28,49,13,17,0,,48,24,82,42,17,0,13,28,31,,31,38,58,99,40,60,68,29,,88,2,36,5,28,38,11,30,3,9,50,62,2,13,17,31,46,5,13,33,61,22,16,37,6,33,7,65,58,25,64,32,36,32,52,,1,8,70,54
1995,2,2,48,28,34,2,4,12,12,91,23,17,46,10,9,,48,24,11,30,0,51,43,40,67,19,57,64,15,77,64,23,36,38,32,30,4,21,18,32,49,70,66,57,25,17,48,86,21,,53,18,34,32,0,65,13,27,1,29,24,26,39,37,51,0,36,16,31,52,14,37,28,73,53,27,0,91,85,12,40,39,0,29,45,77,64,27,50,0,42,46,85,29,,65,34,33,4,21,34,33,31,29,60,31,6,22,,8,6,2,0,7,27,32,1,68,1,7,4,69,15,42,66,0,51,74,13,50,0,35,50,32,25,42,36,27,33,1,39,32,,52,,18,11,,10,23,3,2,35,70,34,37,5,1,57,2,47,8,71,54,0,20,40,67,36,10,46,1,17,35,10,33,30,0,38,32,0,27,3,67,60,23,84,74,29,31,42,63,37,51,2,62,31,22,0,28,49,13,17,0,,47,24,82,42,17,0,13,28,31,,31,38,58,99,40,60,69,29,,88,2,36,5,28,38,11,30,3,9,50,61,2,13,17,31,46,5,13,33,61,22,16,37,6,33,7,65,57,25,63,32,36,31,53,,1,8,70,53
1996,2,2,48,28,34,2,4,12,12,91,23,17,46,10,9,,47,24,11,30,0,51,43,40,67,19,56,64,15,77,64,23,36,38,32,30,4,21,18,32,49,70,66,57,25,18,48,86,21,,53,18,34,32,0,65,13,28,1,29,24,26,39,37,51,0,36,16,31,53,14,37,27,73,53,27,0,91,85,12,40,39,0,29,45,77,64,27,50,0,41,46,85,29,,63,34,33,4,21,34,33,30,29,59,31,6,22,,8,6,2,0,7,27,32,1,68,1,7,4,69,15,42,66,0,51,74,13,49,0,35,50,32,25,42,36,27,33,1,39,32,,52,,18,11,,10,23,3,2,35,70,34,37,5,1,56,2,47,8,71,53,0,20,39,67,36,10,46,1,16,34,10,33,30,0,38,32,0,27,3,66,60,23,85,74,29,31,43,62,37,51,2,62,31,23,0,28,49,14,17,0,,47,24,82,42,17,0,12,28,30,,30,38,58,99,40,60,69,29,,88,2,36,5,28,38,10,31,3,9,50,60,2,13,17,30,46,5,13,33,60,21,16,37,7,33,7,66,57,25,62,33,36,31,55,,1,8,70,52
1997,2,2,48,28,34,2,4,12,12,91,23,17,46,10,9,,47,23,11,30,0,51,43,40,66,19,56,63,15,76,65,23,36,38,32,30,4,21,18,32,48,70,66,56,25,19,48,86,22,,53,18,34,32,0,64,14,28,1,29,23,26,39,37,51,0,36,16,32,53,14,38,27,73,53,27,0,91,85,12,40,39,0,29,45,76,63,27,50,0,41,46,84,29,,62,33,33,4,21,34,33,30,29,58,31,6,22,,8,6,2,0,7,28,32,1,68,1,7,4,68,15,42,65,0,51,73,13,49,0,35,49,32,25,42,35,27,33,1,39,32,,52,,18,11,,10,23,3,2,35,70,34,37,5,1,55,2,47,8,71,53,0,21,39,66,36,10,46,1,16,33,11,33,29,0,38,32,0,27,3,66,60,23,85,74,29,31,45,61,37,50,2,62,31,25,0,28,49,14,17,0,,47,24,82,41,17,0,12,28,30,,30,38,58,99,40,61,69,29,,88,2,36,5,28,38,10,32,3,9,50,60,2,13,17,30,46,5,13,33,60,21,16,37,7,33,7,66,57,25,61,34,36,31,56,,1,8,69,51
1998,2,2,48,28,34,2,4,12,12,91,23,17,46,10,8,,46,23,11,30,0,51,43,40,65,19,56,63,15,76,65,23,36,38,32,30,4,21,18,32,48,70,66,56,25,19,47,86,22,,53,18,34,33,0,64,14,29,1,29,23,26,39,37,56,0,36,16,33,53,14,38,27,73,53,28,0,91,85,12,40,39,0,28,45,76,63,27,50,0,40,46,84,29,,60,33,34,4,21,34,33,30,28,57,31,6,22,,9,6,2,0,7,28,32,1,68,1,7,4,67,15,42,65,0,51,73,13,49,0,35,49,32,25,43,35,27,33,1,39,32,,52,,18,11,,10,23,3,2,35,70,34,37,5,1,55,2,47,8,70,53,0,21,39,66,36,10,46,1,15,33,11,33,29,0,38,32,0,27,3,66,60,23,85,74,29,31,47,60,37,50,2,62,31,26,0,28,49,14,17,0,,47,24,81,41,16,0,12,28,30,,30,37,58,99,40,61,69,30,,88,2,36,5,28,38,10,32,3,9,49,59,2,13,17,30,46,5,13,33,60,20,16,37,7,33,7,66,56,25,60,35,36,31,58,,1,8,69,51
1999,2,2,48,28,34,2,4,12,12,90,23,17,46,11,8,,46,23,11,30,1,51,43,41,65,19,56,63,15,76,65,22,36,38,32,30,4,21,19,32,47,70,66,56,24,20,47,86,22,,53,18,34,33,0,63,14,30,1,29,23,26,39,37,56,0,36,16,33,53,14,38,27,74,54,28,0,91,85,12,40,39,0,28,45,76,63,28,50,0,40,46,84,29,,59,33,34,4,21,33,33,30,28,56,30,6,22,,9,6,2,0,7,28,32,1,68,1,6,4,66,15,42,65,0,51,72,13,48,0,35,49,31,25,43,35,26,33,1,39,32,,52,,18,11,,10,23,3,2,35,70,34,37,5,1,54,2,47,8,70,53,0,21,38,66,36,10,46,1,15,32,11,33,28,0,38,32,0,27,3,66,60,23,86,74,30,31,49,59,37,49,2,62,31,27,0,28,49,14,17,0,,46,24,81,41,16,0,12,28,30,,30,37,58,99,40,61,69,30,,88,2,36,5,28,38,9,33,3,9,49,58,2,13,17,30,46,5,13,33,59,20,16,37,7,33,8,66,56,24,59,35,36,31,59,,1,8,69,50
2000,2,2,48,28,34,2,4,12,12,90,23,17,46,11,8,22,45,23,11,31,1,51,43,41,64,19,55,62,15,75,65,22,36,38,32,30,4,21,19,32,47,69,66,56,24,20,47,86,23,,53,19,34,33,0,63,14,31,1,29,23,26,39,37,55,0,37,16,34,53,14,38,27,74,54,28,0,91,85,12,40,39,0,28,46,75,62,28,50,0,39,46,84,29,,57,33,34,4,21,33,33,30,28,55,30,6,22,,9,6,2,0,7,28,31,1,68,1,6,4,65,15,42,65,0,50,72,13,48,0,35,49,31,25,43,35,26,33,1,39,32,36,52,,18,11,,10,22,3,2,35,70,34,38,5,1,53,2,47,8,69,52,0,21,38,66,36,10,46,1,14,32,11,33,27,0,39,32,0,27,3,65,59,24,86,74,30,30,51,58,37,49,2,62,31,29,0,28,49,14,17,0,,46,24,81,40,16,0,12,28,30,,30,37,58,99,40,61,69,30,,88,2,36,5,28,38,9,33,3,9,49,57,2,13,17,30,46,5,13,33,59,19,16,37,8,33,8,67,56,24,58,38,36,31,60,,1,8,69,49
2001,2,2,48,28,34,2,4,12,12,90,23,17,47,11,8,22,44,23,11,31,1,51,43,41,64,19,55,62,15,75,66,22,36,38,33,30,4,21,19,33,46,69,66,55,24,20,47,86,23,,53,19,34,33,0,63,14,31,1,29,23,26,39,38,55,0,37,16,34,53,14,38,27,73,54,28,0,91,85,12,40,39,0,28,46,75,62,28,50,0,39,46,84,29,,56,33,34,4,22,33,32,30,28,55,30,6,22,,9,6,2,0,7,29,31,1,68,1,6,4,64,15,42,65,0,50,72,13,48,0,35,49,31,25,43,35,26,33,1,39,33,36,52,,18,11,,10,22,3,2,35,70,34,38,5,1,53,2,47,7,69,52,0,20,37,65,36,10,46,1,14,31,11,33,27,0,39,32,0,27,3,65,59,24,86,74,30,30,51,57,36,48,2,62,31,30,0,28,49,14,17,0,,46,24,81,40,16,0,12,28,30,,30,37,58,99,40,61,69,30,,88,2,36,5,28,38,9,33,3,9,49,57,2,13,17,30,45,5,13,33,58,19,16,37,8,33,8,67,55,24,57,39,36,31,60,,1,8,69,48
